Date,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD
2017-05-01,194.81,43.48,66.48,121.25,52.7,176.08,135.11,13.62,140.53,11.31,136.78,155.84,74.44,55.8,142.03
2017-05-02,196.53,43.6,66.63,120.68,53.03,178.64,135.0,10.32,142.55,11.3,138.91,154.79,75.02,55.93,143.52
2017-05-03,197.63,43.72,66.74,120.3,52.84,177.31,134.85,10.39,142.82,11.19,138.95,155.31,74.76,56.16,143.82
2017-05-04,199.51,44.59,67.23,120.82,53.1,179.81,134.61,10.1,144.81,11.09,140.09,155.43,74.39,56.7,144.76
2017-05-05,199.4,44.64,66.99,121.52,53.83,185.2,134.84,10.19,144.98,11.32,140.77,154.71,74.35,56.64,147.22
2017-05-08,198.65,44.68,66.21,121.11,53.99,186.89,135.12,10.04,146.97,11.31,141.56,154.04,74.33,56.32,146.19
2017-05-09,197.96,44.67,66.17,121.07,54.62,191.37,135.6,10.18,146.12,11.34,142.4,154.0,73.86,56.87,145.3
2017-05-10,196.64,44.5,65.98,121.2,55.99,192.58,136.15,10.79,146.16,11.57,143.04,154.04,74.43,56.27,145.25
2017-05-11,196.75,43.86,65.3,120.8,55.75,188.58,136.29,11.07,145.95,11.47,144.39,152.42,73.96,56.23,143.86
2017-05-12,196.57,43.96,66.06,120.96,56.01,173.43,136.84,11.26,145.02,11.33,142.9,153.58,73.43,56.16,144.07
2017-05-15,197.63,44.04,66.67,122.25,56.41,175.77,137.6,11.42,145.85,11.4,142.21,154.75,73.73,56.7,145.08
