Date,Open,High,Low,Close,Volume
2017-05-01,143.15,143.15,140.36,140.53,922511
2017-05-02,140.44,142.67,139.87,142.55,806357
2017-05-03,142.49,143.43,141.96,142.82,545257
2017-05-04,142.71,144.95,142.71,144.81,595927
2017-05-05,144.98,145.02,143.6,144.98,617481
2017-05-08,145.17,147.06,144.76,146.97,838300
2017-05-09,146.81,147.11,144.79,146.12,808001
2017-05-10,145.83,146.26,145.15,146.16,383817
2017-05-11,145.49,146.16,143.03,145.95,773048
2017-05-12,145.76,145.76,144.39,145.02,593161
2017-05-15,144.66,147.15,144.49,145.85,1097685
