Date,Open,High,Low,Close,Volume
2017-05-01,66.0,66.66,65.94,66.48,4575844
2017-05-02,66.51,66.68,66.18,66.63,4342819
2017-05-03,66.45,66.88,66.21,66.74,4993409
2017-05-04,66.74,67.4,66.62,67.23,4287407
2017-05-05,67.19,67.22,66.32,66.99,4587787
2017-05-08,66.94,66.95,66.14,66.21,4497397
2017-05-09,66.2,66.95,65.86,66.17,4395161
2017-05-10,66.16,66.23,65.36,65.98,5140246
2017-05-11,65.9,65.96,64.66,65.3,7853758
2017-05-12,65.27,66.19,65.21,66.06,6093484
2017-05-15,66.07,66.85,65.95,66.67,8527854
