Date,Open,High,Low,Close,Volume
2017-05-01,121.37,121.69,121.1,121.25,1931951
2017-05-02,121.29,121.71,120.21,120.68,2697450
2017-05-03,120.43,120.87,119.66,120.3,1762147
2017-05-04,120.75,120.99,120.22,120.82,1557495
2017-05-05,120.91,121.52,120.76,121.52,1716890
2017-05-08,121.1,121.52,120.76,121.11,1522599
2017-05-09,121.3,121.63,120.91,121.07,1094392
2017-05-10,121.07,121.37,120.56,121.2,1343689
2017-05-11,120.75,120.9,119.67,120.8,1835224
2017-05-12,120.38,121.5,120.38,120.96,2362291
2017-05-15,120.96,122.54,120.76,122.25,1772747
