Date,Open,High,Low,Close,Volume
2017-05-01,134.3,135.34,133.71,135.11,1811962
2017-05-02,135.54,135.7,134.75,135.0,2692920
2017-05-03,134.99,135.21,134.38,134.85,1974174
2017-05-04,135.13,135.35,134.4,134.61,1810507
2017-05-05,135.19,135.19,134.19,134.84,1845506
2017-05-08,135.36,135.38,134.22,135.12,1583085
2017-05-09,135.33,135.62,134.9,135.6,1692745
2017-05-10,135.86,136.74,135.51,136.15,1755377
2017-05-11,135.98,136.31,135.4,136.29,1344005
2017-05-12,136.45,137.38,135.88,136.84,1626639
2017-05-15,137.13,137.71,136.83,137.6,3210300
