Date,Open,High,Low,Close,Volume
2017-05-01,135.22,137.19,134.56,136.78,3608460
2017-05-02,136.23,139.44,135.61,138.91,4731927
2017-05-03,139.0,139.97,138.32,138.95,3365995
2017-05-04,139.17,140.23,138.49,140.09,2442459
2017-05-05,140.17,140.85,139.83,140.77,1466007
2017-05-08,140.7,141.71,140.26,141.56,1899781
2017-05-09,141.34,142.53,141.12,142.4,3930096
2017-05-10,142.05,143.27,141.74,143.04,2517935
2017-05-11,143.72,144.76,142.65,144.39,3038842
2017-05-12,143.92,144.87,142.62,142.9,2448879
2017-05-15,142.64,143.23,141.52,142.21,4289190
