Date,Open,High,Low,Close,Volume
2017-05-01,75.06,75.21,74.43,74.44,1901854
2017-05-02,74.41,75.07,74.41,75.02,1405621
2017-05-03,74.91,75.04,74.53,74.76,1327942
2017-05-04,75.06,75.33,74.09,74.39,2156372
2017-05-05,74.52,74.57,74.04,74.35,1189189
2017-05-08,74.45,74.49,74.0,74.33,1463282
2017-05-09,74.34,74.54,73.74,73.86,1414980
2017-05-10,73.74,74.46,73.71,74.43,1885550
2017-05-11,74.12,74.23,73.67,73.96,1323921
2017-05-12,73.66,73.93,73.35,73.43,1161747
2017-05-15,73.61,73.9,73.51,73.73,1174338
