Date,Open,High,Low,Close,Volume
2017-05-01,13.43,13.63,13.25,13.62,68036349
2017-05-02,11.73,11.76,10.3,10.32,268336455
2017-05-03,10.29,10.68,9.85,10.39,140899380
2017-05-04,10.55,10.55,9.94,10.1,77031372
2017-05-05,10.13,10.26,9.94,10.19,51758963
2017-05-08,10.22,10.22,10.0,10.04,35101132
2017-05-09,10.04,10.4,10.04,10.18,51017346
2017-05-10,10.46,10.85,10.45,10.79,65995889
2017-05-11,10.74,11.26,10.51,11.07,72946523
2017-05-12,11.2,11.4,11.08,11.26,56072619
2017-05-15,11.41,11.6,11.3,11.42,52564965
