Date,Open,High,Low,Close,Volume
2017-05-01,176.44,177.05,175.06,176.08,571291
2017-05-02,176.48,178.75,175.5,178.64,627587
2017-05-03,178.12,179.72,177.12,177.31,655657
2017-05-04,177.4,180.99,177.4,179.81,658498
2017-05-05,180.34,185.32,179.76,185.2,759145
2017-05-08,185.09,187.51,185.09,186.89,833703
2017-05-09,187.77,192.53,186.55,191.37,997363
2017-05-10,190.06,192.7,188.1,192.58,1291722
2017-05-11,193.92,194.73,188.39,188.58,1286471
2017-05-12,187.4,187.65,170.16,173.43,2189496
2017-05-15,174.68,177.69,173.15,175.77,1318150
