Date,Open,High,Low,Close,Volume
2017-05-01,195.5,195.73,194.47,194.81,1498630
2017-05-02,195.16,196.53,194.58,196.53,2467164
2017-05-03,196.6,197.87,195.71,197.63,2339647
2017-05-04,198.3,199.54,197.76,199.51,2321297
2017-05-05,199.67,199.9,198.98,199.4,1688558
2017-05-08,198.84,199.15,198.3,198.65,1576134
2017-05-09,199.36,199.36,197.53,197.96,1747761
2017-05-10,197.37,197.59,196.53,196.64,2248260
2017-05-11,196.04,196.94,195.26,196.75,1704992
2017-05-12,195.9,197.12,195.86,196.57,1323128
2017-05-15,196.67,197.74,196.23,197.63,1474490
